No,LCD,VF,density,KH,PLD,ASA,Va,MaxER,MinER,C_ratio,APC,ANC,A¦Å,A¦Ò,type,Qst,¦¤W,-<¦¤adsH>,Free_energy_ave
154,19.2478,0.82224,0.35194,0.00591766,18.19779,4380.7998,2.33633,0.457837814,0.104159212,0.545454545,0.060611111,-0.072733333,1.247170888,0.096968971,0,21.98252271,0.027555733,36.696395,-74.53013496
155,18.46826,0.82309,0.35119,0.0131198,17.39891,4381.72021,2.3437,0.717377284,0.094140741,0.535714286,0.068265625,-0.091020833,1.005404441,0.07837729,0,21.87886613,0.027202414,36.99774,-65.96669621
156,22.72269,0.90881,0.17331,2.42E-05,16.03454,7214.43018,5.24381,0.343643112,0.328178444,0.463414634,0.217780303,-0.252166667,0.534441771,0.040457346,0,8.205555408,0.013425902,28.11398,-138.3955975
157,16.13306,0.89988,0.18833,1.84E-05,14.26229,7302.49023,4.77818,0.33728711,0.331356445,0.463414634,0.223611742,-0.25891886,0.580760212,0.043963661,0,7.91052036,0.013314324,27.33026,-176.784788
158,25.09016,0.90667,0.18821,1.37E-05,15.93631,6505.06982,4.81736,0.34310048,0.32844976,0.463414634,0.235295455,-0.272447368,0.524581508,0.03983448,0,277.8471481,0.310046261,41.22278,-163.6610158
159,16.19063,0.89629,0.20908,0.00110517,14.24493,6654.68994,4.28688,0.33728804,0.33135598,0.463414634,0.290630682,-0.336519737,0.582746349,0.044251269,0,198.8969644,0.23924448,38.242305,-209.5068321
160,17.59394,0.80595,0.37589,0.0129739,16.41477,4206.45996,2.14409,0.45991672,0.100816082,0.516129032,0.053708333,-0.074365385,1.103870908,0.086966833,0,23.18484075,0.02790819,38.214685,-59.6371161
161,25.62212,0.74221,0.49313,5.14E-05,25.51861,1972.40002,1.5051,0.757911113,0.077132924,0.5,0.048326316,-0.064661972,1.481402205,0.117907781,0,1.882457781,0.003833008,22.59141,-64.70306553
162,24.50351,0.73422,0.51077,2.78E-05,24.38006,1920.18005,1.43747,0.67981787,0.074431248,0.5,0.05512766,-0.071972222,1.502984461,0.119581377,0,3.215521856,0.005740194,25.76812,-73.67197211
164,23.3108,0.73129,0.51698,2.81E-05,23.23814,1885.54004,1.41455,0.672649153,0.070806232,0.49704142,0.053556701,-0.072152778,1.527979966,0.121769517,0,3.362299793,0.006170639,25.064795,-77.94802153
165,24.14078,0.72704,0.51833,3.68E-05,23.96858,1841.44995,1.40266,0.542970282,0.134138081,0.488764045,0.051893204,-0.073219178,1.570173668,0.125683211,0,3.346378051,0.007083391,21.731595,-74.66906473
166,20.94701,0.68025,0.61524,2.81E-05,20.81746,1448.55005,1.10566,0.754868693,0.085251816,0.462264151,0.061880952,-0.090662791,1.857275654,0.150804018,0,1.106555764,0.002440949,20.85319,-107.8885422
167,19.35467,0.6743,0.63228,0.0218971,19.26829,1469.69995,1.06646,0.793584694,0.068759655,0.458715596,0.06725,-0.096719101,1.859555939,0.151205993,0,0.703587236,0.001674388,19.32946,-114.800731
168,5.56789,0.46438,1.0499,1.59E-05,4.91751,626.81702,0.44231,0.472496033,0.121125485,0.455357143,0.06210804,-0.090215328,3.109193695,0.25332289,0,72.76882461,0.073481765,45.553695,-145.345995
171,27.37267,0.75344,0.56242,2.96E-05,27.15258,1594.54004,1.34293,0.470319755,0.060408349,0.563758389,0.249,-0.239171053,1.381371903,0.102802857,0,2.520358804,0.004554941,25.45291,-224.6305192
172,32,0.67,0.523507,0.000181332,32.0001,1568.03,1.29,0.5,5.75E-30,0.587570621,0.178645161,-0.197785714,1.316151631,0.097494418,0,1.180827653,0.002528571,21.481725,-186.2856183
173,28.61876,0.76144,0.54697,6.19E-05,28.4512,1628.73999,1.39586,0.502222351,5.43E-30,0.554744526,0.241615385,-0.218125,1.320396114,0.098336116,0,1.370697906,0.002823905,22.327985,-214.5518266
174,43.89693,0.82443,0.376,7.38E-05,43.78149,1841.88,2.19266,0.493486663,0.014984846,0.575757576,0.187745098,-0.199479167,0.994023238,0.073222342,0,1.414698951,0.002924852,22.249385,-180.4626025
175,44.62077,0.83009,0.36388,2.67E-05,44.50286,1887.98999,2.28124,0.678800028,1.27E-29,0.566666667,0.221520833,-0.253166667,0.94888737,0.069884768,0,1.501532508,0.00317299,21.768265,-193.5122491
176,10.55423,0.58091,0.93307,0.000573917,10.03477,1336.09998,0.62258,0.882092549,0.020628265,0.509433962,0.078919192,-0.130216667,2.435699366,0.184686657,0,17.66613476,0.023756994,34.20644,-146.0436689
178,10.55423,0.58091,0.93307,0.00151222,10.03477,1489.54004,0.68878,0.882092549,0.020628265,0.509433962,0.078919192,-0.130216667,2.435699366,0.184686657,0,28.74216262,0.035052942,37.71836,-146.0436689
179,10.55423,0.58091,0.93307,0.0310378,10.03477,1594.46997,0.72693,0.882092549,0.020628265,0.509433962,0.078919192,-0.130216667,2.435699366,0.184686657,0,89.67183238,0.090845137,45.40589,-146.0436689
180,10.55423,0.58091,0.93307,0.000356939,10.03477,1194.60999,0.56307,0.882092549,0.020628265,0.509433962,0.078919192,-0.130216667,2.435699366,0.184686657,0,6.326752922,0.009217024,31.575335,-146.0436689
181,19.89051,0.73607,0.51595,0.000454726,19.60978,2155.87988,1.42663,0.643895384,0,0.59375,0.063058824,-0.071466667,1.530743494,0.116224666,0,1.103765757,0.002623278,19.354875,-74.63226263
182,20.2581,0.83159,0.32727,0.0138386,19.22142,4417.16016,2.541,0.45367654,0.108381459,0.555555556,0.048890625,-0.071113636,0.978328672,0.075576316,0,23.99889831,0.028405736,38.863605,-49.7215065
184,9.87639,0.62708,0.74705,0.000150881,9.11507,1733.53003,0.83941,0.424435365,0.181840467,0.571428571,0.043694444,-0.058259259,2.155218119,0.164911634,0,4.322279723,0.008033094,24.75072,-65.40317223
185,8.53419,0.5321,1.25337,0.000018054,8.21908,859.85699,0.42454,0.597505583,0.152156468,0.577981651,0.216245763,-0.257747475,3.744526,0.286402771,0,52.79795676,0.03826425,63.471935,-345.4218718
186,17.43,0.739,0.48259,2.37E-05,17.13,2631.1,1.532,0.629299266,0,0.560606061,0.037539474,-0.050946429,1.435222178,0.110582754,0,0.503856157,0.001354696,17.108915,-50.10450138
191,15.85213,0.72924,0.51478,0.000020504,15.75194,2926.44995,1.41661,0.445854629,0.274754982,0.560606061,0.037851974,-0.051370536,1.53094427,0.117958067,0,1.101158894,0.002522584,20.07993,-52.43925151
192,10.81139,0.59365,0.8066,0.000123907,10.55967,1519.64001,0.73599,0.496098349,0.11764388,0.62962963,0.037166667,-0.054060606,2.419977127,0.181086104,0,2.507659372,0.004793897,24.06233,-66.28561145
194,15.6652,0.80334,0.38887,0.0125898,14.44898,4133.66016,2.06584,0.463490977,0.100183069,0.566666667,0.070433824,-0.092105769,1.10553712,0.084935275,0,21.154352,0.026065462,37.332935,-75.66799012
195,10.89243,0.79181,0.41566,0.0115055,9.37565,4926.5498,1.90496,0.650635519,0.094360129,0.523076923,0.074702703,-0.098714286,1.164217057,0.091352748,0,23.53388526,0.02955164,36.63278,-78.94687104
197,17.15188,0.7208,0.534,7.27E-05,16.83791,2429.28003,1.34982,0.550442232,0,0.566666667,0.035907407,-0.053861111,1.535621141,0.117719674,0,1.239828941,0.002872218,19.856475,-44.03579763
201,7.56537,0.64855,0.6769,0.000220001,5.77267,2479.07007,0.95811,0.492046455,0.12760333,0.578947368,0.040363636,-0.0555,2.05153196,0.157000007,0,6.585473987,0.011577267,26.16609,-64.26551485
206,15.20734,0.70036,0.58391,0.00016119,15.00043,2146.33008,1.19944,0.531366121,0.094280884,0.514285714,0.077695122,-0.109844828,1.771652964,0.137518841,0,9.312717883,0.017031167,25.153005,-142.5746477
207,17.20431,0.71842,0.5423,1.38251,16.60403,2382.76001,1.32477,0.438436221,0.134443037,0.566666667,0.120285714,-0.10525,1.576484504,0.119273805,0,28.42018,0.034254674,38.16496,-178.5902133
210,20.05475,0.70607,0.64439,9.66E-05,19.77275,1705.02002,1.09572,0.851845733,0,0.5625,0.104148148,-0.133904762,1.649584016,0.126255703,0,8.61672597,0.013532935,29.28924,-138.7404603
212,21.19983,0.83165,0.32417,8.54E-05,20.79435,3865.05005,2.56551,0.416843315,0.187366459,0.595744681,0.034342593,-0.0463625,0.985311503,0.074868561,0,0.899123249,0.002456675,16.83563,-33.6042695
213,11.08993,0.82342,0.34015,0.000079934,9.40655,6713.83008,2.42077,0.352773573,0.309162029,0.595744681,0.03437037,-0.0464,1.033886261,0.078559498,0,0.862384518,0.002743979,14.456995,-34.49848492
214,7.4535,0.48016,0.98035,7.81E-05,6.48973,712.04901,0.48978,0.531685669,0.207366415,0.447368421,0.06036,-0.116076923,3.224835754,0.264620524,0,2.516924152,0.004472644,25.88592,-138.9606001
215,15.85091,0.65847,0.61299,4.23E-05,15.35493,1737.81006,1.0742,0.458779208,0.212074495,0.489361702,0.03954023,-0.063703704,2.071912088,0.166419611,0,0.504718294,0.00130341,17.812545,-65.28529839
