No,name,LCD,VF,Density,PLD,Va,ASA
538,BOSHIC_freeONLY,7.15256,0.6002,1.04451,4.44127,0.574626,1728.22
539,BOTLED_freeONLY,3.31756,0.3234,2.91906,2.88638,0.110789,0
540,BOWDIC_freeONLY,7.01096,0.5764,1.01844,4.61744,0.565962,1410.31
541,BOWJAA_freeONLY,5.93755,0.4728,1.38432,3.98219,0.34154,580.754
542,BOWNUY_freeONLY,15.52711,0.7344,0.770284,9.99848,0.953414,1718.13
543,BOWQAG_SL,3.4835,0.3908,1.47064,2.72062,0.265734,0
544,BOWRAH_freeONLY,4.1476,0.3064,2.44053,3.20667,0.125546,0
545,BOWSOW_freeONLY,4.51706,0.5218,1.73815,3.56842,0.300203,630.841
546,BOXFOK_freeONLY,18.07305,0.6696,0.827866,10.42327,0.808827,1425.56
547,BOXYEU_freeONLY,4.56557,0.4636,1.6954,3.00587,0.273446,0
548,BOXYIY_freeONLY,4.39053,0.5092,1.58321,3.85775,0.321625,255.886
549,BOYCEY_auto,12.37213,0.7532,0.613909,6.12785,1.22689,3902.93
550,BOYTEQ_freeONLY,4.92609,0.42,1.2701,4.59373,0.330683,449.993
551,BOYYOF_freeONLY,9.47252,0.5654,1.19591,5.83173,0.472779,1055.93
552,BUBDIL_freeONLY,5.70155,0.4316,1.85146,3.91667,0.233114,614.08
553,BUBQOE_freeONLY,4.24295,0.4578,2.94395,2.48434,0.155505,0
554,BUCPAS_freeONLY,4.67592,0.4138,1.56017,3.27375,0.265228,0
555,BUCPEW_freeONLY,4.75377,0.4138,1.54668,3.29508,0.267541,0
556,BUCROH_charged,5.00703,0.4522,1.4953,2.71775,0.302414,0
557,BUCSIC_charged,5.101,0.4678,1.4676,2.75684,0.318752,0
558,BUCTUQ_freeONLY,5.34634,0.459,1.3809,3.37407,0.332393,378.975
559,BUCVAY_freeONLY,5.36914,0.4634,1.22099,3.4206,0.379527,449.375
560,BUCVIG_freeONLY,5.34007,0.4554,1.22513,3.27818,0.371716,0
561,BUCWAZ_freeONLY,6.90971,0.5738,1.20141,5.11847,0.477605,1277.61
562,BUCYAA_freeONLY,5.25072,0.4806,1.7117,2.62411,0.280774,0
563,BUDDIO_freeONLY,3.29205,0.2686,1.49438,2.84666,0.17974,0
564,BUFNEW_charged,17.39105,0.6572,0.800825,9.80191,0.820653,1438.07
565,BUFNOG_charged,17.54491,0.671,0.778482,10.00849,0.861934,1532.52
566,BUFPIC_freeONLY,10.87605,0.6562,1.25685,5.57541,0.5221,1599.22
567,BUGSAY_freeONLY,4.24489,0.4596,1.84176,3.03621,0.249544,0
568,BUGSEC_freeONLY,4.27547,0.4658,1.76456,3.05837,0.263975,0
569,BUGSIG_freeONLY,4.27768,0.4638,1.79438,3.08405,0.258474,0
570,BUGSOM_freeONLY,4.25992,0.4612,1.81714,3.05306,0.253806,0
571,BUJKEW01_freeONLY,5.70821,0.6474,1.01214,3.15562,0.639636,0
572,BUKMUQ01_freeONLY,4.70243,0.5312,1.17612,4.05671,0.451654,988.222
573,BUKMUQ_freeONLY,4.78755,0.528,1.17323,4.25793,0.450041,1005.16
574,BUKYAJ_freeONLY,5.10209,0.5144,0.92244,3.53964,0.557651,1153.61
575,BULBER_freeONLY,5.59399,0.4882,1.63535,3.93704,0.298529,644.056
576,BUNKUS_freeONLY,38.97357,0.8624,0.384411,37.47642,2.24343,3422.93
577,BUNLAZ_freeONLY,38.39638,0.8726,0.349213,36.09316,2.49876,4074.9
578,BUPDOH_freeONLY,10.92059,0.6954,0.972301,5.2836,0.71521,2619.53
579,BUPDUM_freeONLY,9.76326,0.6388,1.32342,3.29047,0.482688,0
580,BUPFAU_freeONLY,9.60107,0.6332,1.39183,3.24041,0.45494,0
581,BUPFEY_freeONLY,9.7736,0.6362,1.41669,3.34249,0.449076,1162.29
582,BUPVEP_freeONLY,8.00881,0.582,1.70124,3.79594,0.342103,932.564
583,BURHUS_freeONLY,4.43494,0.5422,1.65159,3.04101,0.328289,0
584,BURJOO_freeONLY,5.25312,0.4348,1.36621,4.62411,0.318253,581.927
585,BURQIQ_freeONLY,5.70445,0.4788,1.30452,3.14096,0.367033,0
586,BUSGIG_freeONLY,3.66162,0.3462,2.2113,3.28712,0.156559,0
587,BUSGOM_freeONLY,3.72213,0.3518,2.12051,3.32278,0.165903,59.3477
588,BUSNAF_freeONLY,7.07895,0.4656,1.23597,5.43293,0.376708,606.348
589,BUSQEM_freeONLY,5.28773,0.565,0.951333,3.7404,0.593903,812.409
590,BUSQIQ_freeONLY,4.44055,0.4302,1.56983,3.72718,0.274043,636.398
591,BUSQUC_freeONLY,4.51085,0.443,1.36154,2.54975,0.325368,0
592,BUSRUE_freeONLY,6.9387,0.5618,1.06823,5.51917,0.525916,1396.46
593,BUVKUA_freeONLY,3.51899,0.2938,2.39096,2.49993,0.12288,0
594,BUVVIZ_freeONLY,4.58084,0.3958,1.77013,3.6207,0.2236,262.619
595,BUVVOF_freeONLY,4.55919,0.4124,2.00059,3.57584,0.20614,227.488
596,BUVWOF02_freeONLY,7.02745,0.4574,1.22872,5.38791,0.372259,660.538
597,BUVWOF03_freeONLY,7.08217,0.4798,1.19421,5.70931,0.401773,670.058
598,BUVXOG_freeONLY,6.82532,0.469,1.26745,5.22178,0.370034,612.785
599,BUVYEX_freeONLY,7.01349,0.4712,1.21167,5.55881,0.388885,648.971
600,BUVYIB01_freeONLY,10.81747,0.7066,0.682989,8.62628,1.03457,3351.88
601,BUVYIB_freeONLY,10.88811,0.6958,0.702067,8.55613,0.991073,3162.26
602,BUWLUC_freeONLY,5.18793,0.5428,1.45301,3.63714,0.373569,830.273
603,BUWMAJ_freeONLY,5.16551,0.5486,1.46184,3.60817,0.375281,844.309
604,BUWMEN_freeONLY,5.23161,0.5288,1.43013,3.72067,0.369757,831.228
605,BUWMIR_freeONLY,5.20646,0.5316,1.45089,3.5369,0.366397,815.319
606,BUXTOF_freeONLY,5.10112,0.5386,1.37664,3.76343,0.391242,355.225
607,BUXTUL_freeONLY,5.73333,0.5852,1.24116,4.06625,0.471494,1331.15
608,BUXZAX_freeONLY,32.33899,0.825,0.579507,31.8091,1.42362,2512.38
609,BUYNAL_charged,4.621,0.5666,0.918673,3.96851,0.616759,1968.8
610,c4ce00408f_c4ce00408f2_freeONLY,11.06579,0.6512,1.11826,5.23882,0.582334,1502.69
