No,name,LCD,VF,Density,PLD,Va,ASA,,,,,,
25,4PE-2P,32.33411,0.77238,0.43841,32.02223,1.76178,2458.26001,,,,,,
26,4PE-3P,39.2125,0.81206,0.35559,38.93275,2.28367,2801.78003,,,,,,
27,4PE-TT,27.58431,0.75056,0.52721,27.22939,1.42365,2234.05005,,,,,,
28,A2B2-Por-COF,18.53359,0.70656,0.56986,18.07182,1.23989,1962.89001,,,,,,
29,AB-COF,10.44935,0.6252,0.74957,9.97186,0.83408,1846.77002,,,,,,
30,ACOF-1,9.76614,0.59067,0.83457,9.29842,0.70776,1564.19995,,,,,,
31,AEM-COF-1,29.29451,0.76208,0.48003,29.11056,1.58758,1901.73999,,,,,,
32,AEM-COF-2,32.25806,0.71935,0.58829,32.1037,1.22277,1315.5,,,,,,
33,TAPT-DHTA-COF-AA,29.86297,0.78502,0.43188,29.68302,1.81767,2073.33008,,,,,,
34,TAPT-DHTA-COF-AB,12.33825,0.75037,0.50069,12.07344,1.49867,3341.40991,,,,,,
35,ATFG-COF,10.5607,0.57709,0.94202,10.15971,0.61261,1313.73999,,,,,,
36,AzO-COF,31.93576,0.82388,0.37058,31.68053,2.22322,2453.84009,,,,,,
37,B-COF-1 with AA stacking,21.27537,0.69204,0.59472,21.08432,1.16364,2041.90002,,,,,,
38,B-COF-2 with AA stacking,21.84179,0.71778,0.57345,21.54252,1.25168,2050.73999,,,,,,
39,BBO-COF-1,13.02066,0.61757,0.89648,12.63556,0.68888,1459.51001,,,,,,
40,BBO-COF-2,28.86514,0.77062,0.47582,28.67844,1.61956,1962.54004,,,,,,
41,AA-stacking mode of BBO-COF,11.54437,0.55798,0.94256,11.36215,0.59199,1136.53003,,,,,,
42,BCCTP-COF,16.89202,0.66147,0.63645,16.56776,1.03931,1721.70996,,,,,,
43,BCTB-BCTA COF,15.79013,0.6834,0.61827,15.58649,1.10535,1935.71997,,,,,,
44,BCTB-PD COF,22.82201,0.75315,0.47807,22.49727,1.57539,2291.43994,,,,,,
45,BCzP-COF,14.11638,0.66391,0.65834,13.84176,1.00846,1841.73999,,,,,,
46,BDT-COF,30.08247,0.77404,0.50232,29.88767,1.54094,1755.21997,,,,,,
47,BDT-COF,31.68082,0.77273,0.48626,31.38514,1.58914,2288.70996,,,,,,
48,BDT-OEt-COF,23.68646,0.72526,0.60151,23.42764,1.20573,1787.83997,,,,,,
49,BF-COF-1,8.39472,0.77203,0.43771,7.49194,1.76379,5218.75977,,,,,,
50,BF-COF-2,8.49886,0.74859,0.52162,7.37376,1.43511,4329.56006,,,,,,
51,BITA-PDA COF with AA packing,31.50292,0.73273,0.51143,31.32681,1.43272,2066.5,,,,,,
52,BITA-PDA COF with AB packing,10.16494,0.71726,0.54293,9.73082,1.32109,3541.15991,,,,,,
53,BLP-2(H),9.50439,0.5048,0.9033,8.981,0.55884,1114.73999,,,,,,
54,BND-TFP COF,22.7768,0.71551,0.57678,22.59331,1.24053,1778.12,,,,,,
55,brick-wall-COF,16.0767,0.7228,0.5362,15.93388,1.34802,2786.3999,,,,,,
56,BTA-COF1,16.17243,0.62858,0.78055,15.87921,0.80531,1430.90002,,,,,,
57,BTA-COF2,35.39294,0.79225,0.42181,35.25057,1.8782,1904.45996,,,,,,
58,BTA-COF3,32.90312,0.78026,0.44405,32.73608,1.75714,1914.83997,,,,,,
59,BTA-COF4 AA_I,9.02476,0.48904,1.04209,8.53535,0.46929,937.27802,,,,,,
