[-0.04714196 -0.04211373]
[-0.10077466 -0.04297844]
[-0.00746057 -0.01427635]
[-0.12738261 -0.04868044]
[-0.12808388 -0.04128807]
[-0.05902618  0.01049661]
[-0.06336408 -0.06508246]
[-0.06833147 -0.06485264]
[-0.07074923 -0.06762719]
[-0.07017801 -0.06302534]
[-0.15707282 -0.05446289]
[-0.20909594 -0.0602029 ]
[-0.33117369 -0.09070292]
[-0.36825267 -0.09191605]
[ 0.18683825 -0.04601817]
[-0.40559426 -0.09517969]
[-0.29248736 -0.09952722]
[-0.11798223 -0.06771821]
[-0.1366048  -0.07495698]
[-0.14224342 -0.08119398]
[-0.15698128 -0.08676889]
[-0.12101444 -0.0478595 ]
[-0.11378116 -0.03185005]
[-0.10871658 -0.03392057]
[-0.05646001 -0.00874346]
[-0.19808682 -0.084956  ]
[ 0.02713765 -0.04864682]
[-0.18010927 -0.08871556]
[-0.07339805 -0.04322664]
[ 0.36544357 -0.04549857]
[ 0.34269988 -0.0550756 ]
[ 0.22667669 -0.02547145]
[-0.07064306 -0.00160169]
[0.01117681 0.2209136 ]
[-0.07502914  0.14747161]
[-0.08345467 -0.02434341]
[-0.17787288 -0.0482788 ]
[-0.12297871 -0.05196799]
[-0.21660369 -0.051903  ]
[-0.13126403 -0.05246978]
[-0.07428807  0.03832966]
[0.14935275 0.35425981]
[-0.19631191 -0.09314409]
[-0.20315374 -0.09559361]
[-0.1917298  -0.10293651]
[-0.03725416  0.14941935]
[0.00242671 0.30267444]
[-0.20175638 -0.09076487]
[-0.2112879  -0.12021141]
[0.01547527 0.16059521]
[0.02157099 0.16426234]
[0.01568601 0.10728957]
[0.01952286 0.12473412]
[-0.01244318  0.17972223]
[0.00553878 0.17531385]
[0.01400442 0.16914296]
[-0.12944482 -0.05628183]
[-0.10867041  0.04534452]
[-0.10103583  0.04274578]
[-0.05097924  0.03990591]
[0.17192373 0.02079765]
[-0.10560222 -0.02994831]
[-0.09352241  0.05562652]
[-0.11962993  0.04426785]
[-0.01754465  0.18892323]
[-0.38073393 -0.1471983 ]
[-0.0660854   0.07596154]
[-0.22301478 -0.10714388]
[-0.17001843 -0.08137201]
[8.98090594e-05 2.32415365e-01]
[0.09521988 0.34264216]
[0.03030488 0.06972947]
[-0.02659442 -0.00603897]
[-0.1791774  -0.05851381]
[-0.17579621 -0.07225201]
[-0.13553626  0.02535054]
[-0.01392448  0.00761247]
[-0.0795276  -0.06076559]
[-0.07282382 -0.06152417]
[-0.33985888 -0.20726464]
[-0.11344314  0.02893615]
[-0.25327896 -0.2076514 ]
[ 0.17334233 -0.03871986]
[-0.09738576 -0.02941535]
[-0.09796651 -0.02056976]
[ 0.16341826 -0.03990746]
[-0.06120426  0.08181989]
[ 0.21234187 -0.05077961]
[-0.06291848  0.03946616]
[-0.04852066  0.04710481]
[0.05187353 0.09294688]
[-0.04859016  0.08020596]
[-0.14291059 -0.07817371]
[-0.19300408 -0.02012098]
[-0.28340819 -0.14726999]
[-0.05355017 -0.02026581]
[-0.28640041 -0.0933489 ]
[-0.18448734 -0.06608261]
[-0.12414823 -0.04428365]
[-0.20457607 -0.03642913]
[-0.22842913 -0.02941774]
[ 0.05235175 -0.01801105]
[-0.06057308 -0.01700344]
[0.09838914 0.24967724]
[0.11605739 0.31003098]
[-0.26890808 -0.1624853 ]
[-0.17281033 -0.03755148]
[-0.13987575 -0.04219071]
[-0.11812798 -0.00664447]
[-0.32451127 -0.11385787]
[-0.03724158 -0.03481558]
[ 0.02105479 -0.03077895]
[-0.03345261  0.09963047]
[-0.27833147 -0.17692474]
[-0.14559691 -0.07492519]
[-0.13619991  0.01753014]
[-0.13479712  0.0105166 ]
[0.1123796  0.13125519]
[-0.0584792   0.01009499]
[-0.07813847  0.00401037]
[-0.11269369 -0.0452886 ]
[-0.19285281 -0.06027574]
[-0.20645956 -0.04620705]
[ 0.02412697 -0.03885445]
[-0.14617293 -0.09121828]
[-0.1647318  -0.09354204]
[-0.19398724 -0.12121761]
[-0.13827843  0.00393326]
[ 0.01772582 -0.06722009]
[ 0.00389052 -0.06807693]
[ 0.03582357 -0.01995596]
[-0.19154769 -0.06797243]
[-0.16262386 -0.06707754]
[-0.17288418 -0.07792256]
[-0.19686893 -0.07742188]
[-0.0755617  -0.06346829]
[-0.11656647  0.06066688]
[-0.0917046  -0.02533191]
[-0.18467477 -0.11337855]
[-0.18691251 -0.05654588]
[-0.21873994 -0.07394539]
[-0.10752979  0.02866047]
[-0.20021645 -0.09986158]
[-0.21241246 -0.11303865]
[-0.08074372 -0.02991125]
[0.00360331 0.09726458]
[0.02397027 0.0537244 ]
[0.02991418 0.07476419]
[-0.2028033  -0.06502715]
[-0.15395762 -0.0095799 ]
[-0.18544555 -0.01051042]
[-0.15756425 -0.04594851]
[-0.07244151 -0.03164889]
[-0.04931698 -0.05862725]
[-0.11236468 -0.03349516]
[-0.03928903  0.06797304]
[-0.02300499 -0.05397971]
[-0.0217994  -0.15763618]
[-0.09111042 -0.01002207]
[0.08128711 0.34255279]
[-0.10505839  0.02066818]
[-0.05543185 -0.00186081]
[-0.13347847 -0.05020147]
[-0.09294313  0.04719677]
[-0.0906548   0.04448302]
[-0.08700137  0.02982691]
[ 0.36733071 -0.04546523]
[ 0.36302769 -0.04562606]
[ 0.36683384 -0.04553101]
[ 0.36874402 -0.0452927 ]
[-0.06024199  0.06012204]
[0.06098259 0.24071725]
[-0.13837389 -0.03304573]
[-0.00838376  0.1522275 ]
[-0.21771593 -0.05620271]
[-0.06862772  0.00861677]
[-0.20456836 -0.07202742]
[-0.08307072 -0.12921056]
[-0.06781784 -0.02214538]
[-0.19234848 -0.08757247]
[-0.1700395 -0.0245305]
[-0.19070225 -0.02165123]
[-0.18665469 -0.09981528]
[-0.18411987 -0.09956826]
[-0.25835654 -0.09111805]
[-0.10190495  0.13725282]
[-0.24374447 -0.03900819]
[ 0.0196248  -0.01251121]
[-0.12994193 -0.03717235]
[-0.10566177 -0.02860396]
[-0.15336445  0.00772444]
[0.14616417 0.11805903]
[ 0.1500789  -0.02548651]
[0.12912633 0.16117555]
[-0.12672437 -0.03171266]
[0.07316304 0.06960501]
[0.03728864 0.1780835 ]
[-0.09829562  0.02704566]
[-0.11152013  0.03888275]
[-0.06573752  0.02188693]
[-0.08732294  0.02764213]
[-0.08021775  0.02565237]
[-0.11397174  0.01904847]
[-0.15717689 -0.02772385]
[-0.09005674  0.06536422]
[-0.13806457 -0.07315882]
[-0.05997221  0.05235655]
[-0.21992517 -0.09568432]
[-0.135835   -0.03268777]
[-0.02978811 -0.12109552]
[-0.28551529 -0.07317837]
[-0.03567342  0.03781438]
[0.12971847 0.12980772]
[-0.13846111 -0.03093891]
[-0.22381321 -0.03825317]
[-0.15938311 -0.04072076]
[-0.2138979  -0.04035435]
[-0.1612726  -0.03964086]
[-0.18844324 -0.04656887]
[-0.11079097 -0.01372173]
[-0.10209852 -0.02031337]
[0.09210301 0.07690667]
[ 0.25856277 -0.0236209 ]
[-0.15358858 -0.06538353]
[-0.13929406 -0.06147409]
[-0.17077537 -0.08138842]
[-0.15618501 -0.06660127]
[0.0569332  0.12959819]
[-0.1807359  -0.07016367]
[-0.20066651 -0.06999856]
[-0.16819769 -0.05019888]
[-0.06911182 -0.00942386]
[-0.13660598 -0.00915464]
[-0.1037288  -0.02830535]
[-0.10633426  0.00691724]
[-0.06032127  0.03793984]
[0.00760925 0.25850476]
[0.09424497 0.33824105]
[-0.04722416  0.1068479 ]
